Track,Feature,Value
"Bang Bang",Liveness,0.496
"Somebody That I Used To Know",Liveness,0.0992
"This Is What You Came For",Liveness,0.148
"Thrift Shop (feat. Wanz)",Liveness,0.0457
Perfect,Liveness,0.106
"Shape of You",Liveness,0.0931
"See You Again (feat. Charlie Puth)",Liveness,0.0649
"This Is What You Came For",Liveness,0.148
"No Me Conoce - Remix",Liveness,0.0927
"Con Altura",Liveness,0.0501
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Liveness,0.187
"Calma - Remix",Liveness,0.161
"Bang Bang",Liveness,0.38
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Liveness,0.187
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Liveness,0.0642
"Échame La Culpa",Liveness,0.117
"Lean On",Liveness,0.565
"Thrift Shop (feat. Wanz)",Liveness,0.0457
"Somebody That I Used To Know",Liveness,0.0992
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Liveness,0.187
"Bang Bang",Liveness,0.496
Perfect,Liveness,0.119
"See You Again (feat. Charlie Puth)",Liveness,0.0649
"Thrift Shop (feat. Wanz)",Liveness,0.0457
"Bang Bang",Liveness,0.38
"Lean On",Liveness,0.565
"Sin Pijama",Liveness,0.0973
"Something Just Like This",Liveness,0.164
"Sin Pijama",Liveness,0.0973
"Lean On",Liveness,0.565
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Liveness,0.0642
"Bang Bang",Liveness,0.341
"Con Altura",Liveness,0.0501
"No Me Conoce - Remix",Liveness,0.0927
"Wheels on the Bus",Liveness,0.157
